"CUSEC";"longitude";"latitude";"tot_pob"
"1504401001";-7,73463398253077;43,6522951149328;1309
"1504501001";-8,98758623476526;42,96314614327;913
"1504501002";-8,92655792802349;42,9631264837419;1047
"1504501003";-8,94211399695433;42,9095346930205;585
"1504501005";-9,01404116439899;42,887231105367;690
"1504501006";-9,05781984854609;42,9243018542713;571
"1504601001";-8,01343622073952;42,9164729888861;1386
"1504601002";-8,01727520556081;42,9042462935281;1523
"1504601003";-8,02003903586167;42,9166216228498;658
"1504601004";-8,0453022914432;42,9321785336037;1330
"1504601005";-8,01359922045432;42,9416497325127;1282
"1504601007";-8,00889173335062;42,9131707423425;1248
"1504701001";-8,21875023277395;43,1037983219448;619
"1504701002";-8,19252385025015;43,0691012507542;708
"1504701003";-8,2912020594269;43,1224721671825;1152
"1504801001";-8,19702838193258;43,34510887497;1349
"1504801002";-8,1624598566089;43,3350308744216;785
"1504801003";-8,20841001851811;43,3521914091609;1706
"1504802001";-8,17591358930066;43,3632877735203;759
"1504802002";-8,19742484403244;43,3815025511915;1824
"1504901001";-8,00353939403517;43,5497407858788;559
"1504901002";-7,96653165762436;43,5737611869396;641
"1505001001";-8,04195332446996;43,3634849240655;1272
"1505001003";-7,9519418331222;43,3295572131192;636
"1505101001";-8,25906066880374;43,4593861309224;1095
"1505101002";-8,25146256241853;43,4536382960951;2279
"1505102001";-8,21743837013871;43,4440570257222;1060
"1505102002";-8,21121103821225;43,4550253638326;792
"1505201001";-9,21874676019003;43,1045537911689;1462
"1505201002";-9,20043465314923;43,0784845077989;745
"1505201003";-9,13667090413145;43,0853006704075;956
"1505201004";-9,16462757374109;43,0391564770962;746
"1505201005";-9,23718389079513;43,0353820765741;655
"1505301001";-9,06111671372439;42,7725429777509;1397
"1505301002";-9,06594082978651;42,7799095338797;865
"1505301003";-9,08690693083201;42,7645667833842;1152
"1505301004";-9,08035283863178;42,7911371211296;868
"1505301005";-9,05493376502998;42,8074257377081;1066
"1505301006";-9,02425398019514;42,8288218962563;780
